slug,election_id,race_id,office,district
20141104__mo__general,750003143,460006719,State Auditor,
20141104__mo__general,750003143,750011540,U.S. House,1
20141104__mo__general,750003143,750011541,U.S. House,2
20141104__mo__general,750003143,750011542,U.S. House,3
20141104__mo__general,750003143,750011543,U.S. House,4
20141104__mo__general,750003143,750011544,U.S. House,5
20141104__mo__general,750003143,750011545,U.S. House,6
20141104__mo__general,750003143,750011546,U.S. House,7
20141104__mo__general,750003143,750011547,U.S. House,8
20141104__mo__general,750003143,750011620,State Senate,2
20141104__mo__general,750003143,750011621,State Senate,4
20141104__mo__general,750003143,750011622,State Senate,6
20141104__mo__general,750003143,750011623,State Senate,8
20141104__mo__general,750003143,750011624,State Senate,10
20141104__mo__general,750003143,750011625,State Senate,12
20141104__mo__general,750003143,750011626,State Senate,14
20141104__mo__general,750003143,750011627,State Senate,16
20141104__mo__general,750003143,750011628,State Senate,18
20141104__mo__general,750003143,750011629,State Senate,20
20141104__mo__general,750003143,750013631,State Senate,22
20141104__mo__general,750003143,750011631,State Senate,24
20141104__mo__general,750003143,750011632,State Senate,26
20141104__mo__general,750003143,750011633,State Senate,28
20141104__mo__general,750003143,750011634,State Senate,30
20141104__mo__general,750003143,750011635,State Senate,32
20141104__mo__general,750003143,750011636,State Senate,34
20141104__mo__general,750003143,750011637,State House,1
20141104__mo__general,750003143,750011638,State House,2
20141104__mo__general,750003143,750011639,State House,3
20141104__mo__general,750003143,750011640,State House,4
20141104__mo__general,750003143,750011641,State House,5
20141104__mo__general,750003143,750011642,State House,6
20141104__mo__general,750003143,750011643,State House,7
20141104__mo__general,750003143,750011644,State House,8
20141104__mo__general,750003143,750011645,State House,9
20141104__mo__general,750003143,750011646,State House,10
20141104__mo__general,750003143,750011647,State House,11
20141104__mo__general,750003143,750011648,State House,12
20141104__mo__general,750003143,750011649,State House,13
20141104__mo__general,750003143,750011650,State House,14
20141104__mo__general,750003143,750011651,State House,15
20141104__mo__general,750003143,750011652,State House,16
20141104__mo__general,750003143,750011653,State House,17
20141104__mo__general,750003143,750011654,State House,18
20141104__mo__general,750003143,750011655,State House,19
20141104__mo__general,750003143,750011656,State House,20
20141104__mo__general,750003143,750011657,State House,21
20141104__mo__general,750003143,750011658,State House,22
20141104__mo__general,750003143,750011659,State House,23
